power	vel
0.5	0.9116304991
0.5	1.396853184
0.5	1.665478796
0.5	3.464195896
0.5	3.330957593
0.5	5.196293845
0.5	4.996436389
0.5	6.661915185
0.5	6.928391793
0.5	6.661915185
0.5	6.661915185
0.5	8.660489741
0.5	8.660489741
0.5	8.327393982
0.5	11.65835157
0.5	8.327393982
0.5	10.39258769
0.5	9.992872778
0.5	11.65835157
0.5	12.12468564
0.5	9.992872778
0.5	13.32383037
0.5	11.65835157
0.5	13.32383037
0.5	13.85678359
0.5	14.98930917
0.5	13.85678359
0.5	13.85678359
0.5	14.98930917
0.5	13.32383037
0.5	13.85678359
0.5	13.32383037
0.5	14.98930917
0.5	16.65478796
0.5	16.65478796
0.5	13.85678359
0.5	14.98930917
0.5	15.58888153
0.5	14.98930917
0.5	15.58888153
0.5	13.32383037
0.5	15.58888153
0.5	15.58888153
0.5	19.98574556
0.5	13.32383037
0.5	16.65478796
0.5	15.58888153
0.5	15.58888153
0.5	19.05307743
0.5	16.65478796
0.6	1.665478796
0.6	1.665478796
0.6	1.665478796
0.6	1.665478796
0.6	4.996436389
0.6	6.928391793
0.6	6.661915185
0.6	8.327393982
0.6	8.327393982
0.6	8.327393982
0.6	8.660489741
0.6	10.39258769
0.6	10.39258769
0.6	12.12468564
0.6	9.992872778
0.6	11.65835157
0.6	12.12468564
0.6	13.85678359
0.6	13.85678359
0.6	14.98930917
0.6	12.12468564
0.6	13.32383037
0.6	13.32383037
0.6	13.85678359
0.6	16.65478796
0.6	13.85678359
0.6	14.98930917
0.6	15.58888153
0.6	16.65478796
0.6	17.32097948
0.6	14.98930917
0.6	16.65478796
0.6	16.65478796
0.6	14.98930917
0.6	14.98930917
0.6	17.32097948
0.6	16.65478796
0.6	18.32026676
0.6	19.98574556
0.6	18.32026676
0.6	16.65478796
0.6	17.32097948
0.6	19.98574556
0.6	16.65478796
0.6	23.31670315
0.6	19.98574556
0.6	19.98574556
0.6	19.05307743
0.6	18.32026676
0.6	18.32026676
0.7	1.665478796
0.7	1.546516025
0.7	1.665478796
0.7	3.464195896
0.7	4.996436389
0.7	6.661915185
0.7	6.928391793
0.7	6.661915185
0.7	8.660489741
0.7	8.327393982
0.7	10.39258769
0.7	10.39258769
0.7	9.992872778
0.7	14.98930917
0.7	13.85678359
0.7	13.32383037
0.7	16.65478796
0.7	11.65835157
0.7	15.58888153
0.7	14.98930917
0.7	16.65478796
0.7	17.32097948
0.7	18.32026676
0.7	16.65478796
0.7	16.65478796
0.7	16.65478796
0.7	18.32026676
0.7	18.32026676
0.7	18.32026676
0.7	16.65478796
0.7	18.32026676
0.7	21.65122435
0.7	18.32026676
0.7	19.98574556
0.7	18.32026676
0.7	23.31670315
0.7	23.31670315
0.7	18.32026676
0.7	21.65122435
0.7	22.51727333
0.7	19.98574556
0.7	22.51727333
0.7	21.65122435
0.7	19.98574556
0.7	18.32026676
0.7	20.78517538
0.7	20.78517538
0.7	19.98574556
0.7	19.98574556
0.7	19.98574556
